title,chart_type,level,kojinsa,bpi_at_aaa,bpi_at_9444,cpi_hard,cpi_exhard,source
ICARUS†,SPA,13.0,低,51.2,74.7,2152.14,2812.77,full_model
惑星鉄道,SPA,13.0,低,64.2,96.0,1962.38,2428.7,full_model
Mare Nectaris,SPA,13.0,低,56.9,91.4,1981.83,2534.47,full_model
SμG@R RU$#,SPA,13.0,低,60.6,94.5,1972.94,2438.79,full_model
SAMURAI-Scramble,SPL,13.0,低,54.0,78.0,2049.01,2571.59,full_model
Skratch Education Lv-1,SPA,13.0,低,58.8,79.2,2022.94,2453.15,full_model
Sinus Iridum,SPA,13.0,低,55.4,79.3,1939.78,2437.26,full_model
XHRONOXAPSULΞ,SPA,13.0,低,47.6,84.5,1934.27,2410.6,full_model
Illegal Function Call,SPL,13.0,低,53.0,80.5,1936.39,2383.32,full_model
Somnidiscotheque,SPA,13.0,低,49.6,79.8,1952.59,2403.92,full_model
灼熱 Pt.2 Long Train Running,SPA,13.0,低,45.2,66.2,1969.65,2382.35,full_model
RAGE feat.H14 of LEONAIR,SPA,13.0,低,44.9,69.8,1907.37,2424.68,full_model
灼熱Beach Side Bunny,SPA,13.0,低,47.6,68.9,1925.45,2362.51,full_model
DIAVOLO,SPA,13.0,低,47.3,89.8,1811.56,2257.91,full_model
Level 5,SPA,13.0,低,47.0,68.1,1912.83,2383.18,full_model
Thor's Hammer,SPA,13.0,低,51.8,82.8,1822.22,2253.73,full_model
n/a,SPA,13.0,低,46.3,69.6,1918.96,2334.2,full_model
冥,SPA,13.0,低,39.6,61.7,1986.05,2414.58,full_model
駅猫のワルツ,SPA,13.0,低,52.1,87.0,1757.46,2202.67,full_model
疾風迅雷†LEGGENDARIA,SPA,13.0,低,41.0,66.7,1919.88,2346.45,full_model
卑弥呼,SPA,13.0,低,35.2,60.3,1945.97,2335.88,full_model
ディスコルディア,SPA,13.0,低,40.5,66.7,1820.17,2302.83,full_model
Y&Co. is dead or alive,SPA,13.0,低,38.8,66.6,1820.7,2290.01,full_model
Miracle 5ympho X,SPL,13.0,低,39.8,60.8,1823.82,2324.12,full_model
Dans la nuit de l'éternité,SPA,13.0,低,36.3,70.9,1763.16,2317.26,full_model
ピアノ独奏無言歌 \,SPA,13.0,低,42.2,65.6,1828.38,2194.41,full_model
CODE:Ø,SPL,13.0,—,42.7,78.0,1720.06,2177.7,cpi_only_predicted
Sigmund†LEGGENDARIA,SPA,13.0,低,39.0,64.4,1832.61,2223.71,full_model
Fascination MAXX,SPA,13.0,低,37.1,56.8,1842.37,2293.69,full_model
VØID,SPA,13.0,低,40.5,61.0,1815.87,2210.76,full_model
Plan 8,SPA,12.9,低,35.9,59.6,1821.18,2257.39,full_model
Level 4,SPA,12.9,低,37.8,60.2,1804.23,2234.78,full_model
THE PEERLESS UNDER HEAVEN,SPA,12.9,低,37.6,64.5,1776.01,2201.6,full_model
Go Beyond!!,SPA,12.9,低,37.5,54.6,1819.83,2252.76,full_model
Inferno of Fomalhaut,SPA,12.9,低,49.0,70.8,1682.29,2105.09,full_model
二人ノ廃城幽踊宴,SPA,12.9,低,48.8,73.7,1693.79,2026.26,full_model
Level One,SPA,12.8,低,36.7,56.6,1796.03,2184.5,full_model
Carmina,SPA,12.8,低,36.1,60.6,1794.63,2136.79,full_model
恋愛=精度×認識力,SPA,12.8,低,26.5,51.7,1773.77,2383.9,full_model
Go Ahead!!,SPA,12.8,低,30.7,50.2,1874.64,2192.49,full_model
Ignis†Iræ,SPA,12.8,低,38.3,62.8,1753.93,2119.18,full_model
KAMAITACHI,SPL,12.8,低,30.0,50.6,1882.78,2182.89,full_model
KAMAITACHI†,SPA,12.8,低,30.0,50.6,1882.78,2182.89,full_model
音楽,SPA,12.8,低,39.8,66.4,1732.27,2069.1,full_model
Glitch N Ride,SPA,12.8,低,38.0,61.5,1758.26,2108.19,full_model
3y3s,SPA,12.8,低,34.7,55.2,1817.28,2141.36,full_model
The Chase,SPA,12.700000000000001,低,37.6,58.9,1751.46,2153.51,full_model
perditus†paradisus,SPA,12.700000000000001,低,36.8,63.4,1767.53,2081.91,full_model
Red. by Jack Trance,SPA,12.700000000000001,低,34.2,53.7,1787.17,2183.66,full_model
DAY DREAM,SPA,12.700000000000001,低,42.8,66.0,1698.46,2026.5,full_model
天使のカンタータ -Cantata of Angels-,SPA,12.700000000000001,低,33.1,66.3,1762.44,2037.53,full_model
VANESSA†,SPA,12.700000000000001,低,37.5,53.6,1774.51,2116.28,full_model
Verflucht†LEGGENDARIA,SPA,12.700000000000001,低,26.2,44.0,1906.48,2157.17,full_model
EBONY & IVORY†,SPA,12.700000000000001,低,33.7,57.0,1767.88,2103.34,full_model
ChaserXX,SPL,12.600000000000001,低,33.3,67.3,1706.62,2044.98,full_model
焔極OVERKILL,SPA,12.600000000000001,低,33.2,57.8,1742.35,2111.52,full_model
TRANOID,SPL,12.600000000000001,低,32.1,53.1,1803.27,2090.25,full_model
Everlasting Message,SPA,12.600000000000001,低,32.0,55.6,1782.11,2070.23,full_model
Sigmund,SPA,12.600000000000001,低,36.2,59.5,1720.44,2052.45,full_model
Time to Air,SPL,12.600000000000001,低,23.4,46.5,1828.7,2207.3,full_model
Level 3,SPA,12.600000000000001,低,35.2,58.6,1699.99,2086.9,full_model
LOCUS OF THE TRAVEL,SPA,12.600000000000001,低,33.6,56.4,1714.46,2108.62,full_model
The Clown of 24stairs,SPA,12.600000000000001,低,37.6,62.1,1707.58,1998.46,full_model
#The_Relentless,SPL,12.600000000000001,低,30.3,52.9,1790.72,2077.68,full_model
華麗なる大犬円舞曲,SPA,12.600000000000001,低,39.0,62.9,1665.67,2024.42,full_model
KAISER PHOENIX†,SPA,12.600000000000001,低,29.8,49.6,1820.19,2070.85,full_model
Bad Encryption,SPA,12.600000000000001,低,31.7,53.9,1769.88,2062.28,full_model
TOMAHAWK,SPA,12.600000000000001,低,31.4,54.3,1702.2,2155.42,full_model
カジノファイヤーことみちゃん,SPL,12.5,—,28.2,45.6,1780.73,2179.6,cpi_only_predicted
Ambivalent Vermilia,SPA,12.5,低,29.2,53.1,1782.45,2071.3,full_model
MAD ATTACK,SPL,12.5,低,41.3,63.8,1613.69,2034.52,full_model
GuNGNiR,SPA,12.5,低,35.3,59.2,1703.45,2026.48,full_model
four pieces of heaven,SPL,12.5,低,38.0,56.2,1734.99,1985.67,full_model
Timepiece phase II(CN Ver.),SPA,12.5,低,27.5,49.3,1773.25,2105.79,full_model
Elemental Creation,SPA,12.5,低,26.1,46.8,1785.21,2126.91,full_model
Be quiet,SPL,12.5,低,35.1,53.7,1695.39,2048.81,full_model
BLUE MIRAGE,SPA,12.5,低,38.4,58.1,1667.35,1994.21,full_model
ピアノ協奏曲第１番\,SPA,12.5,低,29.0,60.2,1660.44,2085.86,full_model
DUE TOMORROW,SPA,12.5,低,41.6,62.7,1611.23,1974.25,full_model
Snake Stick,SPA,12.4,低,33.5,57.9,1653.77,2056.11,full_model
ICARUS,SPA,12.4,低,42.3,62.4,1589.36,1988.64,full_model
IX,SPA,12.4,低,28.6,51.5,1758.39,2039.31,full_model
JOMANDA,SPA,12.4,低,34.5,54.8,1704.77,2004.09,full_model
199024club -Re:BounceKiller-,SPA,12.4,低,37.2,59.9,1621.46,2026.35,full_model
東京神話,SPA,12.4,低,31.6,62.2,1663.8,2002.02,full_model
VOX UP,SPA,12.4,低,32.6,51.5,1702.74,2067.39,full_model
シムルグの目醒め,SPA,12.4,低,33.3,54.4,1702.36,2022.65,full_model
お米の美味しい炊き方、そしてお米を食べることによるその効果。,SPL,12.4,低,28.2,50.0,1766.45,2045.09,full_model
REVOLVER,SPL,12.4,低,30.7,55.5,1712.5,2020.36,full_model
voltississimo,SPA,12.4,低,31.3,55.3,1707.12,2017.41,full_model
栄冠のカンパネラ,SPA,12.4,低,26.2,45.1,1789.97,2082.75,full_model
君のハートにロックオン,SPL,12.4,低,31.8,58.8,1693.64,1982.81,full_model
金野火織の金色提言,SPA,12.4,低,32.8,57.2,1676.07,2014.09,full_model
Cult Invitation,SPA,12.4,低,29.9,54.0,1681.2,2065.77,full_model
Phoenix,SPL,12.4,低,24.7,44.1,1800.35,2069.78,full_model
MEGAERA,SPA,12.4,低,26.0,46.7,1768.51,2059.09,full_model
SCREW // owo // SCREW,SPA,12.4,低,27.8,55.2,1642.71,2100.95,full_model
COSMIC RAY,SPA,12.4,低,32.2,55.1,1678.88,1993.37,full_model
Ganymede,SPL,12.3,低,32.7,57.2,1668.49,1953.07,full_model
スキッテイエェエエェ!!!!,SPA,12.3,低,22.9,44.1,1782.85,2065.98,full_model
Unbelief,SPA,12.3,低,33.3,56.7,1657.81,1961.49,full_model
Blue Spring Express,SPA,12.3,低,27.7,54.5,1683.1,2011.06,full_model
Binary Black Hole,SPA,12.3,低,26.4,47.3,1743.88,2027.2,full_model
The Rebellion of Sequencer,SPA,12.3,低,32.3,58.2,1649.68,1955.95,full_model
Saturn,SPL,12.3,低,24.7,44.4,1737.21,2089.2,full_model
ra'am,SPA,12.3,低,35.0,57.5,1629.98,1959.68,full_model
Confiserie,SPA,12.3,低,26.2,47.6,1757.4,1999.58,full_model
rage against usual,SPA,12.3,低,28.7,49.0,1694.04,2035.48,full_model
Smashing Wedge,SPA,12.3,低,27.5,49.2,1715.86,2013.03,full_model
Purple Perplex,SPA,12.3,低,27.9,51.9,1666.26,2044.4,full_model
