title,chart_type,level,kojinsa,bpi_at_aaa,bpi_at_9444,cpi_hard,cpi_exhard,source
FUTURE is Dead,SPA,13.0,—,48.2,67.3,1844.0,2368.0,chart_features_only
Beat Juggling Mix,SPA,12.8,—,40.7,63.9,1728.0,2169.0,chart_features_only
花冠 feat.Aikapin,SPA,12.7,—,37.5,55.0,1750.0,2105.0,chart_features_only
SAMURAI-Scramble,SPA,12.7,—,26.2,55.3,1722.0,2246.0,chart_features_only
Scandal,SPA,12.7,—,37.1,62.2,1685.0,2067.0,chart_features_only
ラクエン,SPA,12.7,—,41.2,61.1,1650.0,2064.0,chart_features_only
君のハートにロックオン,SPA,12.6,—,36.2,66.2,1706.0,1951.0,chart_features_only
Bling-Bang-Bang-Born,SPL,12.6,—,34.8,56.3,1650.0,2081.0,chart_features_only
CHECKING YOU OUT,SPA,12.5,—,33.2,54.6,1663.0,2067.0,chart_features_only
Wonder Bullfighter,SPA,12.5,—,26.5,50.9,1664.0,2189.0,chart_features_only
Halfway of promise,SPA,12.5,—,30.5,52.6,1638.0,2128.0,chart_features_only
朝焼けから始まるボクらの小さな旅,SPA,12.5,—,33.2,54.9,1696.0,1983.0,chart_features_only
Souhait bleu,SPA,12.5,—,36.3,56.1,1612.0,2014.0,chart_features_only
Illegal Function Call,SPA,12.5,—,31.9,59.1,1675.0,1938.0,chart_features_only
100% minimoo-G,SPA,12.5,—,28.8,52.4,1650.0,2059.0,chart_features_only
Theory,SPA,12.5,—,27.4,56.8,1620.0,2062.0,chart_features_only
D,SPA,12.4,—,32.5,52.2,1646.0,2002.0,chart_features_only
カジノファイヤーことみちゃん,SPA,12.4,—,22.8,46.8,1735.0,2054.0,chart_features_only
m1dy Festival,SPA,12.4,—,28.5,54.1,1660.0,2001.0,chart_features_only
m1dy Deluxe,SPA,12.4,—,28.5,49.1,1661.0,2063.0,chart_features_only
Angelic Jelly,SPA,12.4,—,26.8,48.8,1686.0,2026.0,chart_features_only
SABER WING,SPA,12.4,—,29.2,49.2,1689.0,1986.0,chart_features_only
Just a Little Smile,SPA,12.4,—,30.9,49.1,1636.0,2022.0,chart_features_only
Ride To The Core,SPA,12.4,—,24.1,49.0,1716.0,1988.0,chart_features_only
IDC feat.REVERBEE,SPA,12.4,—,23.5,46.4,1680.0,2075.0,chart_features_only
A Tale Hidden In The Abyss,SPA,12.4,—,24.7,44.3,1729.0,2017.0,chart_features_only
Catch Me,SPL,12.4,—,28.4,52.6,1620.0,2021.0,chart_features_only
Critical Crystal,SPA,12.4,—,26.3,48.3,1686.0,2004.0,chart_features_only
TRIP THE DEEP,SPA,12.4,—,28.2,49.6,1655.0,2005.0,chart_features_only
Brahma,SPA,12.4,—,23.1,53.0,1630.0,2054.0,chart_features_only
ベラ・ベ・カラベラ,SPA,12.4,—,29.5,51.7,1626.0,1981.0,chart_features_only
DIAMOND JACKAL,SPA,12.4,—,29.2,54.9,1612.0,1963.0,chart_features_only
Digitank System,SPA,12.4,—,26.0,47.5,1622.0,2071.0,chart_features_only
時空トラベローグ,SPA,12.4,—,26.9,53.2,1649.0,1945.0,chart_features_only
naughty girl@Queen's Palace,SPA,12.4,—,23.7,48.6,1607.0,2097.0,chart_features_only
27th style,SPA,12.4,—,28.9,49.1,1635.0,1991.0,chart_features_only
Snow Goose,SPA,12.3,—,25.7,48.6,1674.0,1965.0,chart_features_only
青の洞窟,SPA,12.3,—,25.5,49.2,1693.0,1927.0,chart_features_only
SWEETEST SAVAGE,SPA,12.3,—,29.5,51.9,1572.0,2016.0,chart_features_only
御千手メディテーション,SPA,12.3,—,29.1,54.1,1608.0,1939.0,chart_features_only
ベィスドロップ・フリークス,SPL,12.3,—,24.2,47.5,1639.0,1999.0,chart_features_only
バンブーソード・ガール,SPA,12.3,—,27.6,47.7,1652.0,1936.0,chart_features_only
VOLCANIC BIGBEAT,SPA,12.3,—,27.7,50.9,1597.0,1960.0,chart_features_only
DISPARATE,SPA,12.3,—,22.7,44.0,1675.0,1985.0,chart_features_only
Bounce Bounce Bounce,SPA,12.3,—,20.5,44.7,1637.0,2046.0,chart_features_only
SEITEN NO TERIYAKI,SPA,12.3,—,30.2,53.1,1588.0,1890.0,chart_features_only
ディッシュウォッシャー◎彡おいわちゃん,SPA,12.3,—,17.3,41.0,1672.0,2072.0,chart_features_only
Beastie Starter,SPA,12.3,—,22.5,45.5,1606.0,2031.0,chart_features_only
ÆTHER,SPA,12.3,—,26.2,49.0,1618.0,1926.0,chart_features_only
LIKE A VAMPIRE,SPA,12.3,—,22.2,51.9,1638.0,1902.0,chart_features_only
rough percussionythm,SPA,12.3,—,19.8,43.9,1641.0,2026.0,chart_features_only
TOKAKU=ALMiRAJ,SPA,12.3,—,24.5,48.7,1614.0,1947.0,chart_features_only
ファイナルレター,SPA,12.3,—,19.9,43.0,1693.0,1959.0,chart_features_only
開きたまえ！Next stAge！,SPA,12.2,—,22.2,45.1,1662.0,1940.0,chart_features_only
Afterimage d'automne,SPA,12.2,—,23.1,48.4,1636.0,1925.0,chart_features_only
Hydrogen Blueback,SPL,12.2,—,22.3,45.6,1630.0,1972.0,chart_features_only
ROZA DE ANDALUCIA,SPA,12.2,—,24.0,50.3,1601.0,1929.0,chart_features_only
Game Changers,SPA,12.2,—,28.8,50.6,1579.0,1901.0,chart_features_only
Raison d'être,SPA,12.2,—,20.0,43.3,1667.0,1960.0,chart_features_only
Click Again,SPA,12.2,—,26.8,46.3,1572.0,1968.0,chart_features_only
1st Samurai,SPA,12.2,—,27.7,48.3,1615.0,1871.0,chart_features_only
泰東ノ翠霞,SPA,12.2,—,19.5,43.7,1606.0,2030.0,chart_features_only
煉獄コンフィチュール,SPA,12.2,—,27.4,49.2,1576.0,1907.0,chart_features_only
Broadbanded,SPA,12.2,—,25.2,44.1,1634.0,1910.0,chart_features_only
POLꓘAMAИIA,SPA,12.2,—,24.7,47.3,1592.0,1935.0,chart_features_only
あるビー！ feat.ころねぽち,SPA,12.2,—,11.8,44.6,1668.0,2003.0,chart_features_only
Catch ya Getcha!,SPA,12.2,—,27.2,50.1,1579.0,1880.0,chart_features_only
CODE:Ø,SPA,12.2,—,26.1,47.2,1583.0,1919.0,chart_features_only
雫,SPA,12.2,—,9.9,38.1,1742.0,1992.0,chart_features_only
ANTHEM LANDING,SPA,12.2,—,16.2,43.4,1621.0,2022.0,chart_features_only
SHADE,SPA,12.2,—,16.2,43.4,1621.0,2022.0,chart_features_only
創世ノート,SPA,12.2,—,22.7,45.9,1621.0,1909.0,chart_features_only
Swarm Of Scarabs,SPA,12.2,—,24.5,49.0,1564.0,1917.0,chart_features_only
TYPE MARS,SPA,12.2,—,16.5,40.8,1652.0,1979.0,chart_features_only
