title,filename,chart_type,level,total_notes,bpi_at_aaa_pred,bpi_at_9444_pred,cpi_hard_pred,cpi_exhard_pred,source
27th style,27thstyl,SPL,13.0,1765,40.3,66.8,1808.0,2241.0,chart_features_only
Makin' It,makin_it,SPA,12.9,1471,37.9,64.8,1739.0,2198.0,chart_features_only
Χ-DEN,_kai_den,SPA,12.8,2208,32.9,55.9,1822.0,2149.0,chart_features_only
Session 12-Esther-,sesion12,SPA,12.8,1279,39.6,58.8,1796.0,2072.0,chart_features_only
FiZZλ_PØT!OИ,fizzyptn,SPA,12.7,1800,34.8,56.5,1785.0,2081.0,chart_features_only
SEITEN NO TERIYAKI,sei_teri,SPL,12.7,1794,35.7,57.4,1719.0,2103.0,chart_features_only
fixer,fixer,SPA,12.7,1861,34.5,55.9,1761.0,2049.0,chart_features_only
Beat Juggling Mix,beatjugg,SPL,12.6,1363,33.9,55.0,1715.0,2080.0,chart_features_only
HEROES,heroes,SPA,12.6,1831,32.3,56.4,1694.0,2089.0,chart_features_only
Amor∞Fati,amorfati,SPA,12.6,2171,29.3,56.5,1735.0,1993.0,chart_features_only
焱影,_hikage,SPA,12.6,1437,36.4,56.4,1635.0,2034.0,chart_features_only
THE CANNONBALLER,tcannonb,SPL,12.5,2398,22.8,47.2,1801.0,2061.0,chart_features_only
",",gigagahl,SPA,12.5,1687,30.2,57.0,1675.0,1990.0,chart_features_only
色を喪った街,_iro_usi,SPA,12.5,2026,27.6,53.9,1715.0,1999.0,chart_features_only
3!dolon Forc3,3idolonf,SPA,12.5,1513,29.3,54.0,1637.0,2029.0,chart_features_only
Do it!! Do it!!,doit_emp,SPL,12.5,987,29.6,62.4,1600.0,1960.0,chart_features_only
キャトられ♥恋はモ～モク,_kyatora,SPA,12.4,1988,27.6,51.7,1650.0,1977.0,chart_features_only
GAMBOL,gambolhs,SPA,12.4,88,24.6,50.2,1655.0,1995.0,chart_features_only
Memoria Obscura,memoriao,SPA,12.4,2085,15.3,37.7,1804.0,2020.0,chart_features_only
POLꓘAMAИIA,plkmania,SPL,12.4,1970,25.2,50.2,1627.0,1994.0,chart_features_only
Skreaming for Salvation,skrmsalv,SPA,12.4,1625,24.7,47.9,1649.0,1990.0,chart_features_only
Xlø,xlo,SPA,12.3,1988,23.9,48.0,1655.0,1973.0,chart_features_only
Pinky Happy Crazy,pinkycrz,SPA,12.3,1833,22.6,50.3,1644.0,1915.0,chart_features_only
RIZING-GAMERS.,rizingms,SPA,12.3,1759,22.0,47.2,1646.0,1955.0,chart_features_only
UNDO THE NIGHT,undonigt,SPA,12.3,1787,23.7,43.0,1629.0,1993.0,chart_features_only
Scripted Connection⇒,scripted,SPA,12.3,0,17.2,45.6,1627.0,2027.0,chart_features_only
⁽⁽ଘ( ˙꒳˙ )ଓ⁾⁾ beyond reason,_beyondr,SPA,12.3,1988,20.0,45.0,1674.0,1922.0,chart_features_only
"""[",_dentity,SPA,12.3,2000,17.6,43.0,1676.0,1965.0,chart_features_only
G2,g2,SPL,12.2,986,22.0,41.7,1613.0,2003.0,chart_features_only
Flämingo,flamingo,SPA,12.2,1800,24.2,49.8,1579.0,1884.0,chart_features_only
"""Friction[!",friction,SPA,12.2,1634,22.3,46.3,1590.0,1888.0,chart_features_only
CoMAAAAAAA,comaaaaa,SPL,12.2,1957,9.8,38.4,1681.0,2002.0,chart_features_only
tripping contact,tripping,SPA,12.2,1211,18.5,41.0,1636.0,1923.0,chart_features_only
俺ら東京さ行ぐだ,_oratoky,SPL,12.2,1874,20.8,47.3,1575.0,1893.0,chart_features_only
Immortal,immortal,SPA,12.1,1607,16.7,43.4,1617.0,1897.0,chart_features_only
chaplet -IIDX re:build-,chaplet,SPA,12.1,1481,19.9,42.6,1604.0,1881.0,chart_features_only
INAZUMA,inazuma,SPL,12.1,2042,15.6,40.4,1641.0,1901.0,chart_features_only
Submerge Serenade,submerge,SPL,12.1,2104,16.9,42.3,1621.0,1887.0,chart_features_only
ALL MY TURN-このターンに、オレの全てを賭ける-,almyturn,SPL,12.1,1149,18.5,40.5,1599.0,1888.0,chart_features_only
PERFECT GREAT!!,pergreat,SPA,12.1,1990,17.3,41.4,1616.0,1863.0,chart_features_only
ιgniЯRuina,_ignirru,SPA,12.1,1851,17.3,42.3,1589.0,1851.0,chart_features_only
VOX RUSH,vox_rush,SPA,12.1,1601,14.9,41.7,1574.0,1892.0,chart_features_only
Regina vespaE,regina_v,SPA,12.1,1840,16.5,41.0,1590.0,1855.0,chart_features_only
ミュージック・アワー,_mschour,SPL,12.0,2096,12.3,35.8,1617.0,1928.0,chart_features_only
HyperTwist,hyptwist,SPA,12.0,1692,17.5,42.2,1577.0,1843.0,chart_features_only
ユミル,_ymir,SPL,12.0,2020,14.2,34.8,1598.0,1906.0,chart_features_only
Begin,begin,SPA,12.0,1638,14.7,42.0,1587.0,1816.0,chart_features_only
Super Duper Racers,superdup,SPL,12.0,1857,13.6,36.0,1605.0,1876.0,chart_features_only
Disco Killer Music Lover,discokil,SPA,12.0,1557,16.2,40.7,1576.0,1825.0,chart_features_only
MENTAL MELTDOWN,meltdown,SPL,12.0,1372,17.1,40.8,1548.0,1845.0,chart_features_only
2 Be Continued,2beconti,SPA,12.0,1872,16.0,36.9,1594.0,1839.0,chart_features_only
