title,filename,difficulty,total_notes,duration,peak_density,mean_density,peak_scratch_density,bpm_min,bpm_max,bpm_ratio,rand,doji,kdan,tril,tate,sara,cnbs,total,notes,oabmb,cpi_easy,cpi_clear,cpi_hard,cpi_exhard,cpi_fc
AIR RAID FROM THA UNDAGROUND,airraid,A,1502,118.75,21.0,13.6422,1.0,180.0,180.0,1.0,71.8,49.2,58.7,97.1,134.3,2.4,0.0,413.5,1502,1151.0,1619.34,1655.68,1663.37,1931.75,2332.64
ALBA-黎明-,alba,A,1670,122.91,20.4,13.4764,2.0,165.0,165.0,1.0,56.2,69.0,49.2,6.7,16.7,5.8,46.8,250.4,1614,1207.0,1558.43,1635.96,1671.74,1973.22,2627.44
Amazing Mirage,amazingm,A,1682,114.61,20.8,14.5096,4.2,153.0,153.0,1.0,67.5,59.8,62.8,25.2,54.8,16.9,3.1,290.1,1678,1239.0,1431.01,1525.58,1572.92,1857.44,2438.67
Anisakis-somatic mutation type \-,anisakis,A,1341,132.32,17.2,10.0541,2.4,185.0,185.0,1.0,42.2,52.0,34.5,5.3,11.5,5.9,0.0,151.4,1341,1070.5,1646.54,1694.12,1707.67,1963.10,2457.78
Arabian Rave Night,arabian,A,1459,118.75,16.8,12.1479,1.6,180.0,180.0,1.0,65.5,42.6,46.8,9.8,18.8,3.4,0.0,186.9,1459,1129.5,1424.07,1523.73,1573.60,1863.67,2448.17
B4U(BEMANI FOR YOU MIX),bemani4u,A,1669,120.0,19.0,13.7124,2.2,170.0,170.0,1.0,65.5,62.5,46.3,6.1,28.1,9.5,0.0,218.0,1669,1234.5,1620.04,1676.62,1700.04,1961.45,2480.22
Be quiet,bequiet,A,1116,113.7,17.2,9.6912,2.4,150.0,150.0,1.0,43.3,37.6,39.8,10.3,45.1,8.9,3.1,188.1,1115,957.5,1540.38,1651.77,1695.39,2048.81,2597.28
Blue Rain,bluerain,A,1149,110.1,19.2,10.3891,1.8,144.0,144.0,1.0,73.4,43.1,65.4,9.9,25.7,3.1,0.0,220.6,1149,974.5,1602.99,1635.98,1647.20,1858.22,2189.70
Bow shock!!,bowshock,A,2176,125.09,25.2,17.2603,1.8,165.0,165.0,1.0,83.0,85.1,87.0,28.3,39.8,4.0,17.0,344.2,2159,1479.5,1653.33,1691.77,1705.56,1953.62,2529.70
BroGamer,brogamer,A,1568,127.61,19.8,12.1797,3.8,207.0,207.0,1.0,8.0,60.7,7.6,4.4,7.9,24.4,0.0,113.0,1568,1184.0,1649.69,1715.45,1742.32,2085.66,2710.16
Burning Flame,brnflame,A,1938,114.91,21.4,16.7496,6.6,165.0,165.0,1.0,81.4,60.4,79.2,18.2,28.2,16.9,0.0,284.3,1938,1369.0,1450.63,1542.46,1593.38,1909.19,2486.00
Caldwell 99,caldwl99,A,1776,121.69,19.2,14.6529,5.8,142.0,142.0,1.0,77.6,54.5,64.6,9.8,25.1,29.8,31.6,293.0,1734,1267.0,1335.32,1514.66,1605.57,1965.09,2590.63
CaptivAte～浄化～,captive,A,1155,127.59,15.0,9.0189,2.0,160.0,160.0,1.0,26.1,55.3,22.5,9.7,20.1,10.4,0.0,144.1,1155,977.5,1520.11,1560.41,1573.92,1807.89,2281.19
ChaserXX,chaserxx,A,1505,123.43,16.6,12.0742,2.2,140.0,140.0,1.0,81.6,41.6,78.1,15.1,45.2,8.1,11.2,280.9,1479,1139.5,1617.80,1690.10,1706.62,2044.98,2753.28
CHRONO DIVER -NORNIR-,chrono_n,A,2065,118.14,23.0,17.2622,4.2,185.0,185.0,1.0,57.0,92.0,60.7,40.4,46.3,5.0,3.7,305.1,2061,1430.5,1645.72,1688.56,1701.57,1980.11,2694.20
