Measure | Notes Actual
--------|------
      1 |     0 o
      2 |    15 o
      3 |    19 o
      4 |    27 o
      5 |    27 o
      6 |    26 o
      7 |    26 o
      8 |    27 o
      9 |    27 o
     10 |    27 o
     11 |    29 o
     12 |    31 o
     13 |    32 o
     14 |    31 o
     15 |    34 o
     16 |    30 o
     17 |    32 o
     18 |    34 o
     19 |    37 o
     20 |    19 o
     21 |    16 o
     22 |    18 19(CN終点がカウントされていない)
     23 |    17 o
     24 |    25 o
     25 |    19 o
     26 |    22 23(CN終点がカウントされていない)
     27 |    16 o
     28 |    41 o
     29 |    36 o
     30 |    42 o
     31 |    40 o
     32 |    35 o
     33 |    33 o
     34 |    35 o
     35 |    29 o
     36 |    29 o
     37 |    28 o
     38 |    30 o
     39 |    30 o
     40 |    28 o
     41 |    28 o
     42 |    30 o
     43 |    26 o
     44 |    37 o
     45 |    36 o
     46 |    36 o
     47 |    36 o
     48 |    36 o
     49 |    36 o
     50 |    42 o
     51 |    45 o
     52 |    14 o
     53 |    11 o
     54 |    12 o
     55 |    12 o
     56 |    12 o
     57 |    11 o
     58 |    12 o
     59 |    12 o
     60 |    28 32(理由不明)
     61 |    28 o
     62 |    44 o
     63 |    48 o
     64 |    28 32(理由不明)
     65 |    28 o
     66 |    45 o
     67 |    35 o
     68 |    30 31(BSS終点抜け)
     69 |    31 o
     70 |    31 o
     71 |    31 o
     72 |    31 o
     73 |    31 o
     74 |    31 o
     75 |    30 o
     76 |    31 o
     77 |    31 o
     78 |    31 o
     79 |    32 o
     80 |    37 o
     81 |    36 o
     82 |    38 o
     83 |    40 o
     84 |     1 o
--------|------
Total   |  2390
